Datetime,Close
22-12-2014,333
23-12-2014,50
24-12-2014,2884
26-12-2014,42
29-12-2014,2800
30-12-2014,2300
31-12-2014,540
02-01-2015,24
05-01-2015,1494
06-01-2015,400
07-01-2015,380
08-01-2015,45
09-01-2015,145
12-01-2015,1173
13-01-2015,47
14-01-2015,55
15-01-2015,249
16-01-2015,12
20-01-2015,112
21-01-2015,235
22-01-2015,1010
23-01-2015,610
26-01-2015,3253
27-01-2015,96
28-01-2015,1441
29-01-2015,400
30-01-2015,35444
02-02-2015,29
03-02-2015,661
04-02-2015,30
05-02-2015,586
06-02-2015,278
09-02-2015,320
10-02-2015,17
11-02-2015,36
12-02-2015,39
13-02-2015,855
17-02-2015,1289
18-02-2015,958
19-02-2015,865
20-02-2015,709
23-02-2015,26
24-02-2015,1347
25-02-2015,81
26-02-2015,705
27-02-2015,1659
02-03-2015,765
03-03-2015,55
04-03-2015,80
05-03-2015,95
06-03-2015,963
09-03-2015,454
10-03-2015,47
11-03-2015,921
12-03-2015,100
13-03-2015,100
16-03-2015,950
17-03-2015,50
18-03-2015,41
19-03-2015,921
20-03-2015,28
23-03-2015,997
24-03-2015,900
25-03-2015,1516
26-03-2015,1752
27-03-2015,62
30-03-2015,59
31-03-2015,951
01-04-2015,1581
02-04-2015,422
06-04-2015,1065
07-04-2015,228
08-04-2015,65
09-04-2015,69
10-04-2015,1341
13-04-2015,919
14-04-2015,122
15-04-2015,501
16-04-2015,263
17-04-2015,29
20-04-2015,1259
21-04-2015,1105
22-04-2015,1169
23-04-2015,659
24-04-2015,15
27-04-2015,1160
28-04-2015,635
29-04-2015,1197
30-04-2015,592
01-05-2015,13
04-05-2015,735
05-05-2015,16
06-05-2015,439
07-05-2015,37
08-05-2015,35255
11-05-2015,16
12-05-2015,17
13-05-2015,916
14-05-2015,3
15-05-2015,753
18-05-2015,783
19-05-2015,2047
20-05-2015,13
21-05-2015,750
22-05-2015,1317
26-05-2015,69
27-05-2015,12
28-05-2015,1234
29-05-2015,796
01-06-2015,37
02-06-2015,13
03-06-2015,1013
04-06-2015,473
05-06-2015,1257
08-06-2015,13
09-06-2015,1290
10-06-2015,1375
11-06-2015,820
12-06-2015,14
15-06-2015,1361
16-06-2015,1856
17-06-2015,1934
18-06-2015,283
19-06-2015,115
22-06-2015,305
23-06-2015,562
24-06-2015,25
25-06-2015,2360
26-06-2015,84
29-06-2015,43
30-06-2015,21
01-07-2015,635
02-07-2015,1386
06-07-2015,241
07-07-2015,28
08-07-2015,34
09-07-2015,556
10-07-2015,1612
13-07-2015,302
14-07-2015,407
15-07-2015,21
16-07-2015,7
17-07-2015,6
20-07-2015,1543
21-07-2015,18
22-07-2015,2000
23-07-2015,570
24-07-2015,1261
27-07-2015,515
28-07-2015,74
29-07-2015,57
30-07-2015,842
31-07-2015,19
03-08-2015,604
04-08-2015,2470
05-08-2015,498
06-08-2015,1129
07-08-2015,205
10-08-2015,694
11-08-2015,20
12-08-2015,80
13-08-2015,824
14-08-2015,1160
17-08-2015,1613
18-08-2015,585
19-08-2015,630
20-08-2015,550
21-08-2015,1019
24-08-2015,1425
25-08-2015,1540
26-08-2015,21
27-08-2015,481
28-08-2015,885
31-08-2015,141
01-09-2015,1392
02-09-2015,206
03-09-2015,1429
04-09-2015,30
08-09-2015,1484
09-09-2015,1137
10-09-2015,1615
11-09-2015,34
14-09-2015,1000
15-09-2015,174
16-09-2015,1560
17-09-2015,719
18-09-2015,35370
21-09-2015,274
22-09-2015,18
23-09-2015,322
24-09-2015,1063
25-09-2015,238
28-09-2015,1316
29-09-2015,825
30-09-2015,1308
01-10-2015,780
02-10-2015,778
05-10-2015,384
06-10-2015,239
07-10-2015,200
08-10-2015,2659
09-10-2015,1890
12-10-2015,1520
13-10-2015,973
14-10-2015,158
15-10-2015,1241
16-10-2015,209
19-10-2015,22
20-10-2015,178
21-10-2015,944
22-10-2015,129
23-10-2015,350
26-10-2015,261
27-10-2015,1000
28-10-2015,113
29-10-2015,1068
30-10-2015,420
02-11-2015,185
03-11-2015,1536
04-11-2015,6
05-11-2015,1219
06-11-2015,1617
09-11-2015,369
10-11-2015,1434
11-11-2015,20
12-11-2015,1030
13-11-2015,26
16-11-2015,125
17-11-2015,760
18-11-2015,394
19-11-2015,745
20-11-2015,595
23-11-2015,134
24-11-2015,1037
25-11-2015,422
27-11-2015,421
30-11-2015,211
01-12-2015,1172
02-12-2015,330
03-12-2015,197
04-12-2015,28
07-12-2015,1706
08-12-2015,287
09-12-2015,192
10-12-2015,663
11-12-2015,151
14-12-2015,1864
15-12-2015,21
16-12-2015,159
17-12-2015,141
18-12-2015,642
21-12-2015,1473
22-12-2015,1294
23-12-2015,17
24-12-2015,74
28-12-2015,497
29-12-2015,81
30-12-2015,533
31-12-2015,21
04-01-2016,8
05-01-2016,19
06-01-2016,2000
07-01-2016,3833
08-01-2016,187
11-01-2016,1413
12-01-2016,18
13-01-2016,699
14-01-2016,541
15-01-2016,421
19-01-2016,324
20-01-2016,1384
21-01-2016,1111
22-01-2016,383
25-01-2016,32
26-01-2016,469
27-01-2016,208
28-01-2016,458
29-01-2016,1378
01-02-2016,929
02-02-2016,29
03-02-2016,1937
04-02-2016,638
05-02-2016,257
08-02-2016,13
09-02-2016,715
10-02-2016,1205
11-02-2016,285
12-02-2016,15
16-02-2016,840
17-02-2016,1350
18-02-2016,19
19-02-2016,1305
22-02-2016,1057
23-02-2016,12
24-02-2016,11
25-02-2016,1015
26-02-2016,1523
29-02-2016,12
01-03-2016,590
02-03-2016,36
03-03-2016,815
04-03-2016,1212
07-03-2016,1048
08-03-2016,63
09-03-2016,570
10-03-2016,652
11-03-2016,184
14-03-2016,458
15-03-2016,308
16-03-2016,607
17-03-2016,1177
18-03-2016,553
21-03-2016,347
22-03-2016,233
23-03-2016,16
24-03-2016,249
28-03-2016,1520
29-03-2016,2740
30-03-2016,268
31-03-2016,674
01-04-2016,1357
04-04-2016,1223
05-04-2016,15
06-04-2016,404
07-04-2016,35296
08-04-2016,1614
11-04-2016,168
